Name,Position,Company,Country,Speaker_Profile_URL
Sayaka Eda,Chief Financial Officer,"Mercari, Inc.",JAPAN,https://asia.money2020.com/program/speakers/sayaka-eda-s101-91446
Lucy Liu,Co-founder & President,Airwallex,SINGAPORE,https://asia.money2020.com/program/speakers/lucy-liu-s101-91864
Adnan Zaylani Mohamad Zahid,Deputy Governor,Bank Negara Malaysia,MALAYSIA,https://asia.money2020.com/program/speakers/adnan-zaylani-mohamad-zahid-s101-91439
Nik Mohamed Din Nik Musa,Director General,Labuan FSA,MALAYSIA,https://asia.money2020.com/program/speakers/nik-mohamed-din-nik-musa-s101-91869
Hans Patuwo,Chief Operating Officer,GoTo Group,INDONESIA,https://asia.money2020.com/program/speakers/hans-patuwo-s101-91415
DG Roong Poshyananda Mallikamas,"Deputy Governor, Financial Institutions Stability",Bank of Thailand,THAILAND,https://asia.money2020.com/program/speakers/dg-roong-poshyananda-mallikamas-s101-91740
Martha Sazon,President & CEO,Mynt/GCash,PHILIPPINES,https://asia.money2020.com/program/speakers/martha-sazon-s101-91410
Chan Cheong Siew,Group Chief Strategy & Transformation Officer,Maybank,MALAYSIA,https://asia.money2020.com/program/speakers/chan-cheong-siew-s101-91594
Paul Smitton,Director Customer Lifestyle,Cathay Pacific,HONG KONG SAR,https://asia.money2020.com/program/speakers/paul-smitton-s101-91506
Daniel Yun,"Founder, CEO",KakaoBank Corp.,SOUTH KOREA,https://asia.money2020.com/program/speakers/daniel-yun-s101-94987
Noor Farilla Abdullah,Group Chief Digital Officer,Bank Islam Malaysia Berhad,MALAYSIA,https://asia.money2020.com/program/speakers/noor-farilla-abdullah-s101-92182
Arsalaan (Oz) Ahmed,CEO & Board Director | Co-Founder & Chairman,Berjaya Capital Berhad  | mmob Ltd,MALAYSIA,https://asia.money2020.com/program/speakers/arsalaan-oz-ahmed-s101-91658
Murtaza Ali,President,JazzCash,PAKISTAN,https://asia.money2020.com/program/speakers/murtaza-ali-s101-95111
Sutapa Amornvivat,Founding Chief Executive Officer,ABACUS digital,THAILAND,https://asia.money2020.com/program/speakers/sutapa-amornvivat-s101-91474
Angela Ang,"Head of Policy & Partnerships, APAC",TRM Labs,SINGAPORE,https://asia.money2020.com/program/speakers/angela-ang-s101-95101
Xing Xian Ang,Co-founder & CEO,CapBay,MALAYSIA,https://asia.money2020.com/program/speakers/xing-xian-ang-s101-91660
Anoosh Arevshatian,CRO,Zodia Custody,UNITED KINGDOM,https://asia.money2020.com/program/speakers/anoosh-arevshatian-s101-95027
Nichapat Ark,Director,Openspace Ventures,THAILAND,https://asia.money2020.com/program/speakers/nichapat-ark-s101-94863
Paul Ark,Advisor,The Radical Fund,THAILAND,https://asia.money2020.com/program/speakers/paul-ark-s101-92822
Dr Chalee Asavathiratham,President,Lightnet Group,THAILAND,https://asia.money2020.com/program/speakers/dr-chalee-asavathiratham-s101-91442
Shailesh Baidwan,Group President & Co-Founder,Maya | Maya Bank,PHILIPPINES,https://asia.money2020.com/program/speakers/shailesh-baidwan-s101-91486
Samarth Bansal,"General Manager, Wise Platform",Wise,SINGAPORE,https://asia.money2020.com/program/speakers/samarth-bansal-s101-92041
Eric Barbier,CEO,Triple-A,SINGAPORE,https://asia.money2020.com/program/speakers/eric-barbier-s101-92113
Kamini Belday,Global Head of Payments,IBM,UNITED STATES,https://asia.money2020.com/program/speakers/kamini-belday-s101-92794
Om Bhatia,"Head of Digital, Asia Pacific",Chubb Asia Pacific Pte. Ltd.,SINGAPORE,https://asia.money2020.com/program/speakers/om-bhatia-s101-91828
David Birch,"Author, Advisor & Commentator",15MB LTD,UNITED KINGDOM,https://asia.money2020.com/program/speakers/david-birch-s101-91503
Devere Bryan,Group General Manager,First Digital Group,HONG KONG SAR,https://asia.money2020.com/program/speakers/devere-bryan-s101-92140
Camilla Bullock,CEO,Emerging Payments Association Asia,AUSTRALIA,https://asia.money2020.com/program/speakers/camilla-bullock-s101-94932
Dr Yew Choong Chew,Chief Data Officer,AmBank Group,MALAYSIA,https://asia.money2020.com/program/speakers/dr-yew-choong-chew-s101-91649
Ceridwen Choo,CEO,DCS Innov,SINGAPORE,https://asia.money2020.com/program/speakers/ceridwen-choo-s101-91845
Claus Christensen,CEO & Co-Founder,Know Your Customer Limited,HONG KONG SAR,https://asia.money2020.com/program/speakers/claus-christensen-s101-91908
Jo-Ann Chung,CEO,Summit,SINGAPORE,https://asia.money2020.com/program/speakers/jo-ann-chung-s101-92168
Lynda Clarke,Chief Operating Officer,Tribe Payments,UNITED KINGDOM,https://asia.money2020.com/program/speakers/lynda-clarke-s101-91913
Veronica Colondam,Chief Executive Officer,YCAB Foundation,INDONESIA,https://asia.money2020.com/program/speakers/veronica-colondam-s101-91519
Sarah Corley,CEO,AllianceDFA,SOUTH AFRICA,https://asia.money2020.com/program/speakers/sarah-corley-s101-92121
Tony Crivelli,Global PM Lead - Treasury Solutions,Corpay Cross-Border Solutions,AUSTRALIA,https://asia.money2020.com/program/speakers/tony-crivelli-s101-92052
Emmylia Darmadi Lee,"Senior Director, Product Management",Rakuten Advertising,UNITED STATES,https://asia.money2020.com/program/speakers/emmylia-darmadi-lee-s101-91852
Baasandorj Davaasuren,Deputy CEO,LendMN NBFI JSC,MONGOLIA,https://asia.money2020.com/program/speakers/baasandorj-davaasuren-s101-91897
Tracey Davies,President,Money20/20,UNITED KINGDOM,https://asia.money2020.com/program/speakers/tracey-davies-s101-92826
Gaby Diamant,CEO & Co Founder,Bridgewise,ISRAEL,https://asia.money2020.com/program/speakers/gaby-diamant-s101-92138
Iana Dimitrova,CEO,OpenPayd,UNITED KINGDOM,https://asia.money2020.com/program/speakers/iana-dimitrova-s101-91497
Ficoal Dong,Founder & CSO,AsiaVerify,SINGAPORE,https://asia.money2020.com/program/speakers/ficoal-dong-s101-91854
Matthew Edmunds,Group CEO,Geniusto International Ltd,AUSTRALIA,https://asia.money2020.com/program/speakers/matthew-edmunds-s101-91915
Susan Elmesslamy,COO,Optivide,UNITED STATES,https://asia.money2020.com/program/speakers/susan-elmesslamy-s101-92702
Clive Fernandes,CEO,Sevaka,NEW ZEALAND,https://asia.money2020.com/program/speakers/clive-fernandes-s101-91839
Sinead Fitzmaurice,Chief Executive Officer,TransferMate Global Payments,IRELAND,https://asia.money2020.com/program/speakers/sinead-fitzmaurice-s101-91895
Jo-lynn Foo,Senior Product Manager,Benevity,CANADA,https://asia.money2020.com/program/speakers/jo-lynn-foo-s101-92705
Mary Ann Francis,Executive Consultant/Strategist/Mentor,Global Payments & Strategic Initiatives,UNITED STATES,https://asia.money2020.com/program/speakers/mary-ann-francis-s101-95120
Martin Frick,CEO,Moneythor,SWITZERLAND,https://asia.money2020.com/program/speakers/martin-frick-s101-91848
Michele Fung,General Manager,Lian Lian Global,HONG KONG SAR,https://asia.money2020.com/program/speakers/michele-fung-s101-95216
Puneet Gambhir,Head of Risk & GrabDefence Business,Grab,SINGAPORE,https://asia.money2020.com/program/speakers/puneet-gambhir-s101-91850
Amrita Ghanekar,Senior Director,BNY,UNITED STATES,https://asia.money2020.com/program/speakers/amrita-ghanekar-s101-91824
Sylvie Gibert,"Chief Sustainability Officer, BPS",THALES DIS FRANCE SAS,FRANCE,https://asia.money2020.com/program/speakers/sylvie-gibert-s101-92101
Marty Gray,"Public Policy Lead, APAC",Block,AUSTRALIA,https://asia.money2020.com/program/speakers/marty-gray-s101-92135
Ming Gu,Senior Vice President,FinVolution Group,MAINLAND CHINA,https://asia.money2020.com/program/speakers/ming-gu-s101-92122
Natasha A. Hartoro,Co-Founder & CEO,Durianpay,INDONESIA,https://asia.money2020.com/program/speakers/natasha-a-hartoro-s101-91849
Jun Hasegawa,Founder & Group CEO,Omise,THAILAND,https://asia.money2020.com/program/speakers/jun-hasegawa-s101-91902
Hayley Haupt,"Partner, APAC Wealth Management Lead",Capco,SINGAPORE,https://asia.money2020.com/program/speakers/hayley-haupt-s101-92125
Supphavit (Leng) Hongamornsin,Country Head,SeaMoney (Thailand),THAILAND,https://asia.money2020.com/program/speakers/supphavit-leng-hongamornsin-s101-91827
Dr Wayne Huang,Co-Founder & Group CEO,XREX Inc.,TAIWAN,https://asia.money2020.com/program/speakers/dr-wayne-huang-s101-91953
Subhashini Iyer,Chief Operating Officer,Quantum Data Engines,INDIA,https://asia.money2020.com/program/speakers/subhashini-iyer-s101-91921
Kriti Jain,Managing Director,Deutsche Bank,SINGAPORE,https://asia.money2020.com/program/speakers/kriti-jain-s101-91899
Nandini Joshi,Deputy Chief Executive Officer,StashAway,SINGAPORE,https://asia.money2020.com/program/speakers/nandini-joshi-s101-91414
Hanspeter Jsler,Managing Director APAC,G+D Netcetera,SINGAPORE,https://asia.money2020.com/program/speakers/hanspeter-jsler-s101-91894
Glendy Kam,Chief Product Officer,Tassat Group,UNITED STATES,https://asia.money2020.com/program/speakers/glendy-kam-s101-91919
